Date,gmax
2001-01-01,06/20/01 00:00:00
2002-01-01,07/09/02 00:00:00
2003-01-01,07/08/03 00:00:00
2004-01-01,07/18/04 00:00:00
2005-01-01,07/01/05 00:00:00
2006-01-01,06/18/06 00:00:00
2007-01-01,07/05/07 00:00:00
2008-01-01,07/05/08 00:00:00
2009-01-01,07/08/09 00:00:00
2010-01-01,06/19/10 00:00:00
2011-01-01,06/28/11 00:00:00
2012-01-01,06/27/12 00:00:00
2013-01-01,06/29/13 00:00:00
2014-01-01,06/30/14 00:00:00
2015-01-01,06/21/15 00:00:00
2016-01-01,07/01/16 00:00:00
2017-01-01,06/26/17 00:00:00
2018-01-01,07/09/18 00:00:00
